it's suliban.	スリバン人です
he moved to the east coast two years ago.	2年前 東海岸に移転してる
bridging the technology competence.	患者と医療をつないだのです
so to get at it	なので 油を採るためには
right now, you're still stronger.	まだ あんたのほうが 強いってことだ。
smarter than us, certainly.	少なくとも俺達より
no, you're the one who made the mistake, 'cause we know you killed her father.	間違ってるとしたら あなたの方ですよ あなたは彼女の父親を殺した
who's the banana man, alright. now focus up, big dog.	OK、火をつけて、これは効くぞ
how 'bout you, doc?	ドクは?
many of our kind see themselves as indestructible.	私達の多くは 自分が不滅だと思っている
check the shuttle rotation on this stb. it should be 300 per minute.	この回転をコントロールして 毎分300回転に維持しろ
and people aren't even aware that they have changed	人々は自分が変わったことにも気付かず
make an honest and diligent effort to win.	地道に こつこつと努力して 勝つってのがさ。
cleaner, cheaper	クリーンで安価で
that long?	そんなに長く
this time, you have to properly accept it and properly do it.	今回は 君が きちんと受け入れ きちんとやるんだ。
i came straight from the airport because i think you deserve to see it first.	空港から直にここに来た 君には最初に見る権利がある
tomorrow i'll arrange for a new companion, but tonight i've got plans.	明日 新しい支援者を手配します でも今晩は 予定があるので
dodee got a little weird the last time she was around the two of you.	前回あなたたち二人の事を 気味悪がっていたわ
ah! welcome home!	あっ。 おかえりなさい。
uh, an intelligence officer actually.	実際はcia調査官です
you know, it did feel different!	違う感じでやったんだ
if she takes a liking to uebaya	上羽やを 気に入ってもらえたら➡
it's a very strange sensation	食われるという感覚は 実に奇妙なものです
we're eliminating people who are still alive.	まだ生きてる人を消去
i'm emily.	エミリーよ
that the brain is canceling the sensory consequences	脳は感覚からの入力を相殺しており
marty, i...	マーティ
i plant one every chance i get.	チャンスがあれば植える
shut up, hostage!	うん? うっ... 黙れ!
so this is the power of mr. ichigos fullbring!	これが一護さんのフルブリングの力...。
will not work in india.	インドでは役に立たない事でした
it's a suicide mission.	そんなの自殺行為よ
it was nothing.	何でもないっすね!
whether it's the same as yours or not doesn't matter to me.	心配なんだよ アイツが うまく やってるかどうか!
what i really want to do...	つか 甘いもん苦手なんでいらねぇわ わりぃ」
even a skilled scam to defraud through both treatments and insurance in a double billing...	医療機関の巧妙な保険請求や 不正な二重請求に目を光らせ
sorry, mom.	ごめん
once you find the silver crystal, everything...	全ては銀水晶を探せば...
i'm really sorry.	マジでごめん ボクジュ ごめん
no, that's a pet.	いいえ それはペットです
this was a seminal event in the civil rights movement	この出来事は公民権運動に 強い影響をもたらし
we've realized that we should do this in a systematic way	これを体系的に実行するべきだと気づいた私達は
indeed!	まったくだよ
a mysterious professor who won't admit he's had something stolen from his house?	何かを盗まれたのに それを認めない教授
give me the plans.	《図面 取ってくれ》
and technology is changing very rapidly.	テクノロジーは急速に変化しています
some did, not everybody.	何人かは耳を傾けましたが 皆ではありません
now, don't just bring it, sing it.	それを歌ってください。 さあ、まさしくそれを持って来ないでください、 そして、これをしましょう。
i guess you are.	恐ろしいのか? 私が。 そうだろうな!
the third base coach isn't a player, right?	...つか サードコーチは プレーヤーじゃないですよね?
we do that by doing active learning in the classroom.	教室での能動的学習です
he didn't say we have a dream. he said, i have a dream.	「我々には夢がある」ではなくて 「私には夢がある」ですね
bitch.	雌犬。
less than 20,000 cases recorded.	2万人ほどの患者が報告されてる
press called him...	プレスは こう呼んだ
but soon after this, in the early 1990s	しかし このすぐ後1990年代初頭に
why are you using beans like these, are you idiots?	なんでこんな豆使ってんの バッカじゃない
come on, samuel.	もう、サミュエル!
hachiro is...	それが オメエさんの刑だ。 お奉行!
i want to know what happened to my sister that night.	姉さんに何が起こったのか知りたい
